<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230616;150000;184.89;185.1;184.66;185.02;960789
AAPL;60;230620;090000;184.41;186.1;184.41;185.3;417246
AAPL;60;230620;100000;185.31;185.96;184.51;184.85;456370
AAPL;60;230620;110000;184.86;185.35;184.8;184.98;337930
AAPL;60;230620;120000;184.98;186.08;184.905;185.74;322074
AAPL;60;230620;130000;185.74;186.04;185.48;185.56;245456
AAPL;60;230620;140000;185.54;185.84;185.22;185.47;247798
AAPL;60;230620;150000;185.475;185.53;185.01;185.02;560095
AAPL;60;230620;160000;185.03;185.03;185.03;185.03;300
AAPL;60;230621;090000;184.83;185.4;183.89;184.12;323610
AAPL;60;230621;100000;184.1;184.41;183.21;183.49;558336
AAPL;60;230621;110000;183.5;183.82;182.6;183.26;394753
AAPL;60;230621;120000;183.26;184.32;183.15;184.26;277870
AAPL;60;230621;130000;184.23;184.64;183.98;184.58;187869
AAPL;60;230621;140000;184.6;185.19;184.44;184.9;277179
AAPL;60;230621;150000;184.905;184.905;183.79;183.96;497932
AAPL;60;230621;160000;183.96;183.97;183.96;183.97;300
AAPL;60;230622;090000;183.75;185.55;183.7;185.42;378908
AAPL;60;230622;100000;185.445;185.98;185.03;185.95;391099
AAPL;60;230622;110000;185.915;186.73;185.9;186.35;394327
AAPL;60;230622;120000;186.35;186.35;185.74;186.13;165732
AAPL;60;230622;130000;186.135;186.49;185.61;186.43;170920
AAPL;60;230622;140000;186.45;186.72;186.22;186.7;226191
AAPL;60;230622;150000;186.71;187.04;186.285;186.96;451177
AAPL;60;230623;090000;185.51;186.17;185.01;185.28;312835
AAPL;60;230623;100000;185.25;186.35;185.02;186.25;311102
AAPL;60;230623;110000;186.29;186.68;185.91;186.57;230923
AAPL;60;230623;120000;186.56;187.14;186.56;186.98;236789
AAPL;60;230623;130000;187;187.56;187;187.35;222647
AAPL;60;230623;140000;187.34;187.42;186.58;186.71;259375
AAPL;60;230623;150000;186.71;187.25;186.38;186.7;574867
AAPL;60;230623;160000;186.68;186.68;186.68;186.68;100
AAPL;60;230626;090000;186.75;187.82;186.4;187.57;180836
AAPL;60;230626;100000;187.58;188.05;186.97;187.62;297861
AAPL;60;230626;110000;187.63;187.63;186.41;186.89;261147
AAPL;60;230626;120000;186.88;186.98;185.67;186.05;252513
AAPL;60;230626;130000;186.04;186.04;185.62;185.83;184083
AAPL;60;230626;140000;185.82;186.41;185.78;186.14;177840
AAPL;60;230626;150000;186.17;186.25;185.24;185.31;573980
AAPL;60;230627;090000;185.95;187.04;185.67;186.93;225213
AAPL;60;230627;100000;186.85;187;186.25;186.73;225392
AAPL;60;230627;110000;186.725;187.21;186.05;187.12;217228
AAPL;60;230627;120000;187.12;187.83;187.06;187.66;236243
AAPL;60;230627;130000;187.69;188.18;187.52;188.14;199132
AAPL;60;230627;140000;188.13;188.28;187.94;188.02;166067
AAPL;60;230627;150000;188.02;188.38;187.96;188.04;521126
AAPL;60;230627;160000;188.04;188.04;188.04;188.04;100
AAPL;60;230628;090000;187.93;188.62;187.61;188.16;240136
AAPL;60;230628;100000;188.14;189.335;187.8;189.12;360862
AAPL;60;230628;110000;189.14;189.56;188.955;189.39;231448
AAPL;60;230628;120000;189.38;189.9;188.29;188.58;269583
AAPL;60;230628;130000;188.5;189.22;188.34;188.92;279504
AAPL;60;230628;140000;188.985;189.525;188.9;188.95;201798
AAPL;60;230628;150000;188.97;189.29;188.37;189.29;628717
AAPL;60;230629;090000;189.11;190.06;189.05;189.67;364191
AAPL;60;230629;100000;189.72;189.96;188.94;189.35;424372
AAPL;60;230629;110000;189.36;189.91;189.27;189.78;226243
AAPL;60;230629;120000;189.78;189.9;189.21;189.335;115169
AAPL;60;230629;130000;189.31;189.57;189.12;189.43;167045
AAPL;60;230629;140000;189.42;189.78;189.2;189.74;228038
AAPL;60;230629;150000;189.75;189.78;189.17;189.6;507899
AAPL;60;230630;090000;191.63;192.63;191.27;192.49;507476
AAPL;60;230630;100000;192.47;193.14;192.17;192.56;446180
AAPL;60;230630;110000;192.55;192.81;191.99;192.33;283957
AAPL;60;230630;120000;192.35;192.88;192.24;192.68;203249
AAPL;60;230630;130000;192.68;193.11;192.64;193.08;292245
AAPL;60;230630;140000;193.09;193.18;192.82;193.01;262363
AAPL;60;230630;150000;193.02;194.48;192.9;193.77;1167931
AAPL;60;230703;090000;193.755;193.88;192.8;192.94;357834
AAPL;60;230703;100000;192.95;193.14;191.76;192;455995
AAPL;60;230703;110000;191.99;192.5;191.915;192.215;269010
AAPL;60;230703;120000;192.22;192.55;192.01;192.46;265155
AAPL;60;230705;090000;191.57;192.97;191.57;192.23;279321
AAPL;60;230705;100000;192.24;192.73;192.04;192.35;293628
AAPL;60;230705;110000;192.36;192.36;190.92;190.94;281915
AAPL;60;230705;120000;190.92;191.3;190.68;191.13;144831
AAPL;60;230705;130000;191.13;191.28;190.87;190.94;117974
AAPL;60;230705;140000;190.96;191.41;190.62;191.3;211807
AAPL;60;230705;150000;191.3;191.485;191.235;191.33;357628
AAPL;60;230706;090000;189.91;190.44;189.21;189.93;270074
AAPL;60;230706;100000;189.9;190.18;189.5;189.53;314763
AAPL;60;230706;110000;189.555;190.61;189.54;190.495;277559
AAPL;60;230706;120000;190.5;191.17;190.5;190.98;174289
AAPL;60;230706;130000;190.99;191.4;190.76;191.4;153014
AAPL;60;230706;140000;191.41;191.53;190.94;191.43;150162
AAPL;60;230706;150000;191.42;192.02;191.33;191.77;469132
AAPL;60;230707;090000;191.41;191.65;190.71;191.53;262261
AAPL;60;230707;100000;191.545;191.715;190.255;190.68;340721
